C.Power Supply Position in States,,,,,,,,Date
RegionRegion,States,"Max. Demand Met
during the day
(MW)","Peak hour
Shortage (MW)","Energy
Met (MU)","Drawal
Schedule (MU)","OD(+)/
UD(-) (MU)","Max
OD (MW)",01.01.14
NR,Punjab,4792,0,89.5,36.6,1.4,307,01.01.14
,Haryana,5354,0,98.2,35.7,1.0,455,01.01.14
,Rajasthan,8942,0,183.3,73.6,-1.0,478,01.01.14
,Delhi,3711,0,65.2,44.6,0.6,311,01.01.14
,UP,9176,2285,195.4,66.0,0.5,766,01.01.14
,Uttarakhand,1623,40,29.4,18.9,0.4,206,01.01.14
,HP,1382,0,26.6,19.7,2.0,309,01.01.14
,J&K,1629,100,32.4,29.7,-4.5,105,01.01.14
,Chandigarh,213,0,3.8,3.2,0.5,60,01.01.14
WR,Chhattisgarh,2986,5,65.0,15.4,0.0,397,01.01.14
,Gujarat,11251,19,238.2,30.3,1.0,1058,01.01.14
,MP,7942,0,161.8,90.7,-5.0,517,01.01.14
,Maharashtra,17714,73,360.0,105.5,5.5,526,01.01.14
,Goa,404,0,7.9,9.9,-2.7,13,01.01.14
,DD,242,0,5.7,6.9,-1.2,3,01.01.14
,DNH,625,0,14.7,11.7,3.0,45,01.01.14
,Essar steel,416,0,8.5,8.5,0.0,8,01.01.14
SR,Andhra Pradesh,11365,0,252.1,85.8,1.7,326,01.01.14
,Karnataka,8669,300,177.3,20.2,0.8,324,01.01.14
,Kerala,3203,150,57.3,25.9,2.1,265,01.01.14
,Tamil Nadu,11863,728,252.7,79.1,-0.1,562,01.01.14
,Pondy,301,0,5.9,6.4,-0.5,17,01.01.14
ER,Bihar,1966,25,37.1,36.3,-2.2,275,01.01.14
,DVC,2622,200,59.4,-12.4,0.2,312,01.01.14
,Jharkhand,984,130,21.0,11.3,0.0,90,01.01.14
,Odisha,3470,0,67.2,11.6,4.2,382,01.01.14
,West Bengal,6311,0,101.5,17.9,7.0,510,01.01.14
,Sikkim,102,0,2.2,1.4,0.8,28,01.01.14
NER,Arunachal Pradesh,113,2,1.6,1.3,0.3,40,01.01.14
,Assam,985,165,18.4,10.2,2.9,203,01.01.14
,Manipur,129,1,1.5,1.5,0.0,33,01.01.14
,Meghalaya,291,1,5.2,3.0,0.6,102,01.01.14
,Mizoram,79,1,1.2,1.1,-0.1,25,01.01.14
,Nagaland,99,1,1.5,1.3,0.0,38,01.01.14
,Tripura,186,0,2.9,0.1,0.5,68,01.01.14
RegionRegion,States,"Max. Demand
Met during the
day (MW)","Shortage during
maximum Demand
(MW)","Energy
Met (MU)","Drawal
Schedule (MU)","OD(+)/
UD(-) (MU)","Max
OD (MW)",01.01.15
NR,Punjab,5253,0,96.9,39.7,0.4,117,01.01.15
,Haryana,6108,293,118.1,45.7,0.6,184,01.01.15
,Rajasthan,10414,0,210.7,82.2,1.2,290,01.01.15
,Delhi,4129,0,67.2,46.5,-1.5,213,01.01.15
,UP,10267,3980,249.7,92.2,0.7,326,01.01.15
,Uttarakhand,1818,0,34.5,25.4,1.1,241,01.01.15
,HP,1367,0,25.8,21.7,0.0,93,01.01.15
,J&K,1914,338,42.9,35.6,2.5,207,01.01.15
,Chandigarh,234,0,4.0,3.9,0.3,24,01.01.15
WR,Chhattisgarh,2914,186,66.6,12.6,-0.3,563,01.01.15
,Gujarat,11416,0,250.0,63.3,-2.6,396,01.01.15
,MP,8914,0,168.0,96.4,-2.9,308,01.01.15
,Maharashtra,17541,67,356.7,94.4,1.2,643,01.01.15
,Goa,402,0,7.9,7.0,0.4,98,01.01.15
,DD,253,0,5.6,5.7,-0.1,22,01.01.15
,DNH,646,0,14.7,15.1,-0.1,7,01.01.15
,Essar steel,268,0,5.6,5.7,-0.1,15,01.01.15
SR,Andhra Pradesh,5666,0,129.8,22.4,1.2,373,01.01.15
,Telangana,6445,200,136.3,71.9,3.8,424,01.01.15
,Karnataka,8394,400,178.9,28.3,2.6,359,01.01.15
,Kerala,3374,125,61.8,45.0,1.8,400,01.01.15
,Tamil Nadu,10882,1588,239.6,90.6,3.1,580,01.01.15
,Pondy,290,0,5.6,5.7,-0.1,38,01.01.15
ER,Bihar,2542,100,53.5,47.6,0.7,220,01.01.15
,DVC,2336,0,50.0,-22.2,-2.9,240,01.01.15
,Jharkhand,1071,0,22.1,10.4,0.6,90,01.01.15
,Odisha,3149,0,61.5,21.7,3.2,430,01.01.15
,West Bengal,6119,0,112.0,20.1,2.0,290,01.01.15
,Sikkim,104,0,1.5,1.0,0.5,45,01.01.15
NER,Arunachal Pradesh,110,10,1.8,1.4,0.4,56,01.01.15
,Assam,1180,99,21.7,13.7,3.0,209,01.01.15
,Manipur,132,4,2.4,2.3,0.1,35,01.01.15
,Meghalaya,335,5,5.8,4.7,-0.7,40,01.01.15
,Mizoram,84,2,1.4,1.2,0.2,36,01.01.15
,Nagaland,106,11,2.6,1.6,0.5,32,01.01.15
,Tripura,204,6,2.7,0.5,-0.2,64,01.01.15
RegionRegion,States,"Max. Demand
Met during the
day (MW)","Shortage during
maximum Demand
(MW)","Energy
Met (MU)","Drawal
Schedule (MU)","OD(+)/
UD(-) (MU)","Max
OD (MW)",01.01.16
NR,Punjab,5037,0,93.9,35.1,-0.3,138,01.01.16
,Haryana,6215,0,110.3,56.9,-0.9,187,01.01.16
,Rajasthan,10362,0,222.6,68.5,1.6,347,01.01.16
,Delhi,3669,0,64.9,49.1,-0.6,503,01.01.16
,UP,10537,960,228.0,95.9,1.9,513,01.01.16
,Uttarakhand,1792,0,34.6,23.4,0.9,118,01.01.16
,HP,1401,1,25.5,21.7,0.1,103,01.01.16
,J&K,2008,502,43.8,37.3,1.7,211,01.01.16
,Chandigarh,211,0,3.6,3.7,0.3,17,01.01.16
WR,Chhattisgarh,3471,96,73.9,26.8,1.2,283,01.01.16
,Gujarat,12630,18,275.6,88.5,1.3,560,01.01.16
,MP,10836,0,221.0,126.7,-3.8,251,01.01.16
,Maharashtra,18404,14,369.5,70.6,1.1,498,01.01.16
,Goa,455,1,9.0,8.0,0.4,89,01.01.16
,DD,279,0,6.2,6.2,0.0,31,01.01.16
,DNH,665,0,15.5,15.6,-0.2,14,01.01.16
,Essar steel,361,0,7.5,8.1,-0.6,101,01.01.16
SR,Andhra Pradesh,6540,0,135.7,18.6,0.9,606,01.01.16
,Telangana,6007,0,128.1,83.5,-4.1,503,01.01.16
,Karnataka,8264,600,181.2,38.5,0.7,373,01.01.16
,Kerala,3294,0,61.4,50.6,1.7,217,01.01.16
,Tamil Nadu,12680,0,264.9,125.3,3.4,412,01.01.16
,Pondy,297,0,6.1,6.5,-0.4,22,01.01.16
ER,Bihar,3400,0,66.8,62.9,1.6,295,01.01.16
,DVC,2577,0,57.6,-13.9,-1.0,272,01.01.16
,Jharkhand,1086,0,23.8,10.9,0.6,140,01.01.16
,Odisha,3620,0,66.9,21.0,0.2,270,01.01.16
,West Bengal,6334,0,117.0,23.7,0.5,298,01.01.16
,Sikkim,98,0,1.6,1.1,0.5,22,01.01.16
NER,Arunachal Pradesh,100,7,1.9,1.4,0.5,44,01.01.16
,Assam,1303,44,21.8,14.8,1.8,243,01.01.16
,Manipur,170,0,2.8,2.6,0.1,40,01.01.16
,Meghalaya,335,4,5.5,4.4,-0.1,44,01.01.16
,Mizoram,90,3,1.6,1.3,0.2,34,01.01.16
,Nagaland,112,6,2.1,1.7,0.3,37,01.01.16
,Tripura,212,0,3.3,-0.6,0.8,40,01.01.16
RegionRegion,States,"Max. Demand
Met during the
day (MW)","Shortage during
maximum Demand
(MW)","Energy
Met (MU)","Drawal
Schedule (MU)","OD(+)/
UD(-) (MU)","Max
OD (MW)",01.01.17
NR,Punjab,4947,0,96.5,33.5,0.0,137,01.01.17
,Haryana,6084,107,108.1,78.7,0.4,257,01.01.17
,Rajasthan,9333,123,201.9,71.3,1.6,306,01.01.17
,Delhi,3502,0,58.6,47.1,0.3,292,01.01.17
,UP,12643,310,270.8,94.1,1.8,386,01.01.17
,Uttarakhand,1800,0,32.0,16.6,-0.2,121,01.01.17
,HP,1257,0,25.2,21.1,0.2,133,01.01.17
,J&K,2051,513,43.2,39.3,-0.3,89,01.01.17
,Chandigarh,200,0,3.4,3.4,0.0,29,01.01.17
WR,Chhattisgarh,3097,0,70.9,7.0,-1.2,300,01.01.17
,Gujarat,13224,0,277.5,83.5,-2.8,388,01.01.17
,MP,11202,0,216.7,121.7,-2.9,222,01.01.17
,Maharashtra,19976,0,388.1,119.2,-2.2,404,01.01.17
,Goa,436,0,8.8,7.2,1.0,95,01.01.17
,DD,280,0,6.3,6.2,0.0,11,01.01.17
,DNH,693,0,15.8,16.0,-0.2,45,01.01.17
,Essar steel,584,0,11.4,11.1,0.3,166,01.01.17
SR,Andhra Pradesh,6807,0,148.9,8.2,1.7,385,01.01.17
,Telangana,7720,0,153.7,66.6,0.9,250,01.01.17
,Karnataka,9300,0,195.6,61.6,4.2,960,01.01.17
,Kerala,3313,0,62.7,54.0,2.1,196,01.01.17
,Tamil Nadu,13245,0,279.5,138.1,0.8,481,01.01.17
,Pondy,308,0,6.3,6.8,-0.5,20,01.01.17
ER,Bihar,3591,0,65.2,61.0,-0.3,350,01.01.17
,DVC,2342,0,52.0,-29.6,-3.6,380,01.01.17
,Jharkhand,1088,0,22.5,14.9,1.9,150,01.01.17
,Odisha,4126,0,72.3,22.4,1.5,300,01.01.17
,West Bengal,6276,0,103.3,25.3,2.7,380,01.01.17
,Sikkim,88,0,1.4,1.4,0.0,25,01.01.17
NER,Arunachal Pradesh,99,1,2.1,1.6,0.5,15,01.01.17
,Assam,1348,0,22.2,15.9,2.4,95,01.01.17
,Manipur,134,1,2.3,2.4,-0.1,31,01.01.17
,Meghalaya,287,0,5.1,4.7,-0.3,43,01.01.17
,Mizoram,84,1,1.5,1.4,0.1,31,01.01.17
,Nagaland,110,2,1.9,1.8,0.1,25,01.01.17
,Tripura,215,0,3.4,1.3,0.3,26,01.01.17
RegionRegion,States,"Max. Demand
Met during the
day (MW)","Shortage during
maximum
Demand (MW)",Energy Met (MU),"Drawal
Schedule (MU)","OD(+)/UD(-)
(MU)","Max OD
(MW)","Energy
Shortage (MU)",01.01.18
NR,Punjab,5599,0,103.6,35.5,0.2,165,0.0,01.01.18
,Haryana,6119,0,112.6,59.6,0.0,175,1.5,01.01.18
,Rajasthan,10446,0,204.3,65.8,0.7,300,0.0,01.01.18
,Delhi,3664,0,60.1,49.4,-1.1,149,0.0,01.01.18
,UP,14129,560,274.0,90.3,0.3,810,0.4,01.01.18
,Uttarakhand,1919,0,34.1,21.0,0.5,140,0.0,01.01.18
,HP,1464,0,26.0,21.2,0.1,96,0.0,01.01.18
,J&K,2196,549,46.1,43.2,-1.8,19,10.9,01.01.18
,Chandigarh,184,0,3.0,3.2,-0.2,8,0.0,01.01.18
WR,Chhattisgarh,3320,0,71.8,17.9,-1.9,84,0.0,01.01.18
,Gujarat,13875,0,293.4,76.6,3.5,448,0.0,01.01.18
,MP,11519,0,222.4,142.6,-1.6,442,0.0,01.01.18
,Maharashtra,19599,0,388.9,122.9,-1.7,427,0.0,01.01.18
,Goa,421,0,9.2,8.6,0.1,42,0.0,01.01.18
,DD,284,0,6.4,6.3,0.0,42,0.0,01.01.18
,DNH,723,0,16.7,16.4,0.3,55,0.0,01.01.18
,Essar steel,359,0,7.3,6.9,0.4,191,0.0,01.01.18
SR,Andhra Pradesh,8220,-,161.2,57.7,1.6,612,0.0,01.01.18
,Telangana,8901,-,187.6,97.7,-0.3,302,0.0,01.01.18
,Karnataka,9516,-,193.5,85.7,3.3,528,0.0,01.01.18
,Kerala,3180,-,58.7,51.3,0.5,210,0.0,01.01.18
,Tamil Nadu,12527,-,275.7,145.3,5.0,467,0.0,01.01.18
,Pondy,280,-,5.6,6.5,-0.9,12,0.0,01.01.18
ER,Bihar,3905,0,69.8,64.8,-1.6,220,0.0,01.01.18
,DVC,3287,0,66.4,-31.9,-1.2,225,0.0,01.01.18
,Jharkhand,1016,0,22.8,11.6,0.5,75,0.0,01.01.18
,Odisha,3778,0,68.3,32.0,4.0,300,0.0,01.01.18
,West Bengal,4987,0,85.2,11.9,1.3,225,0.0,01.01.18
,Sikkim,93,0,1.4,1.7,-0.2,12,0.0,01.01.18
NER,Arunachal Pradesh,96,2,2.0,1.9,0.2,31,0.0,01.01.18
